cross type: one | select type: rul | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0741326
cross type: one | select type: turney | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0536219
cross type: two | select type: rul | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0531103
cross type: two | select type: turney | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0738138
cross type: one | select type: rul | mutation probability: 0% | cross probability: 10% | population size: 25 | time: 0.0552873
cross type: one | select type: turney | mutation probability: 0% | cross probability: 10% | population size: 25 | time: 0.04058
cross type: two | select type: rul | mutation probability: 0% | cross probability: 10% | population size: 25 | time: 0.0828702
cross type: two | select type: turney | mutation probability: 0% | cross probability: 10% | population size: 25 | time: 0.0411448
cross type: one | select type: rul | mutation probability: 0% | cross probability: 20% | population size: 25 | time: 0.0790662
cross type: one | select type: turney | mutation probability: 0% | cross probability: 20% | population size: 25 | time: 0.053851
cross type: two | select type: rul | mutation probability: 0% | cross probability: 20% | population size: 25 | time: 0.112743
cross type: two | select type: turney | mutation probability: 0% | cross probability: 20% | population size: 25 | time: 0.0394483
cross type: one | select type: rul | mutation probability: 0% | cross probability: 30% | population size: 25 | time: 0.0690626
cross type: one | select type: turney | mutation probability: 0% | cross probability: 30% | population size: 25 | time: 0.0731359
cross type: two | select type: rul | mutation probability: 0% | cross probability: 30% | population size: 25 | time: 0.0756785
cross type: two | select type: turney | mutation probability: 0% | cross probability: 30% | population size: 25 | time: 0.0410983
cross type: one | select type: rul | mutation probability: 0% | cross probability: 40% | population size: 25 | time: 0.079562
cross type: one | select type: turney | mutation probability: 0% | cross probability: 40% | population size: 25 | time: 0.104029
cross type: two | select type: rul | mutation probability: 0% | cross probability: 40% | population size: 25 | time: 0.106526
cross type: two | select type: turney | mutation probability: 0% | cross probability: 40% | population size: 25 | time: 0.0485327
cross type: one | select type: rul | mutation probability: 0% | cross probability: 50% | population size: 25 | time: 0.068165
cross type: one | select type: turney | mutation probability: 0% | cross probability: 50% | population size: 25 | time: 0.0588326
cross type: two | select type: rul | mutation probability: 0% | cross probability: 50% | population size: 25 | time: 0.0620917
cross type: two | select type: turney | mutation probability: 0% | cross probability: 50% | population size: 25 | time: 0.0876177
cross type: one | select type: rul | mutation probability: 0% | cross probability: 60% | population size: 25 | time: 0.067794
cross type: one | select type: turney | mutation probability: 0% | cross probability: 60% | population size: 25 | time: 0.0579435
cross type: two | select type: rul | mutation probability: 0% | cross probability: 60% | population size: 25 | time: 0.0884004
cross type: two | select type: turney | mutation probability: 0% | cross probability: 60% | population size: 25 | time: 0.0495014
cross type: one | select type: rul | mutation probability: 0% | cross probability: 70% | population size: 25 | time: 0.194304
cross type: one | select type: turney | mutation probability: 0% | cross probability: 70% | population size: 25 | time: 0.112635
cross type: two | select type: rul | mutation probability: 0% | cross probability: 70% | population size: 25 | time: 0.149112
cross type: two | select type: turney | mutation probability: 0% | cross probability: 70% | population size: 25 | time: 0.0641459
cross type: one | select type: rul | mutation probability: 0% | cross probability: 80% | population size: 25 | time: 0.129767
cross type: one | select type: turney | mutation probability: 0% | cross probability: 80% | population size: 25 | time: 0.0570444
cross type: two | select type: rul | mutation probability: 0% | cross probability: 80% | population size: 25 | time: 0.100024
cross type: two | select type: turney | mutation probability: 0% | cross probability: 80% | population size: 25 | time: 0.126031
cross type: one | select type: rul | mutation probability: 0% | cross probability: 90% | population size: 25 | time: 0.115804
cross type: one | select type: turney | mutation probability: 0% | cross probability: 90% | population size: 25 | time: 0.061358
cross type: two | select type: rul | mutation probability: 0% | cross probability: 90% | population size: 25 | time: 0.106792
cross type: two | select type: turney | mutation probability: 0% | cross probability: 90% | population size: 25 | time: 0.108199
cross type: one | select type: rul | mutation probability: 10% | cross probability: 0% | population size: 25 | time: 0.0596181
cross type: one | select type: turney | mutation probability: 10% | cross probability: 0% | population size: 25 | time: 0.0365672
cross type: two | select type: rul | mutation probability: 10% | cross probability: 0% | population size: 25 | time: 0.0336623
cross type: two | select type: turney | mutation probability: 10% | cross probability: 0% | population size: 25 | time: 0.041402
cross type: one | select type: rul | mutation probability: 10% | cross probability: 10% | population size: 25 | time: 0.0576972
